gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g29270.t1,2160.4830711057275,-1.654882772262854,0.15963181819266226,-10.366872914180234,3.508174836943233e-25,1.188410774009034e-22,33vs30
Montipora_capitata_HIv3___TS.g41028.t3,936.7922760298534,-1.9892824150893926,0.1495620269176855,-13.300718478389134,2.2925469620941208e-40,2.0580194078718925e-37,33vs30
Montipora_capitata_HIv3___RNAseq.g5745.t1,109.78502753140667,1.9608651271369115,0.34242630885321507,5.726385725745911,1.0259281229320459e-8,3.64022006306758e-7,33vs30
Montipora_capitata_HIv3___TS.g33816.t1b,33.665797966323055,-3.949407419862155,1.0705602045128904,-3.6891035209543896,2.2504564164017073e-4,0.0022957212784134235,33vs30
Montipora_capitata_HIv3___RNAseq.g13842.t1,72.11641356973449,-1.9637077423132197,0.4238714163929803,-4.632791139878665,3.6076846049218326e-6,6.658463017683006e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g14967.t1,61.58805628089122,-1.7042819619762153,0.3186687033317993,-5.348130971624499,8.886715021369929e-8,2.508680526630121e-6,33vs30
Montipora_capitata_HIv3___RNAseq.g35914.t1,100.9549112098557,-1.592295457404638,0.32293414076337223,-4.930712663704955,8.193016975894644e-7,1.8160176146322523e-5,33vs30
Montipora_capitata_HIv3___TS.g1477.t1,32.09208238663527,-1.8941817786936848,0.5506337540129308,-3.4400030235872587,5.817076878780463e-4,0.004994729712177161,33vs30
Montipora_capitata_HIv3___TS.g34384.t3,32.82508669681707,-3.5426475410906546,1.051351602234231,-3.3696125383384223,7.527394645965717e-4,0.006216506139543169,33vs30
Montipora_capitata_HIv3___RNAseq.g16022.t1b,922.5739212200272,-1.618781946077853,0.20065945740072208,-8.067309495635204,7.186421311834232e-16,8.659396525682672e-14,33vs30
Montipora_capitata_HIv3___RNAseq.g24504.t1,204.22890370474107,2.2338559016371806,0.3727374849490946,5.993107728197131,2.058683749353306e-9,8.400365462702104e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g835.t1,50.001192006252865,1.7677887895645084,0.48469208240170353,3.64724090561768,2.650713788377841e-4,0.0026192028264466565,33vs30
Montipora_capitata_HIv3___RNAseq.g3472.t1,20.273073167626496,8.236655805993653,1.5193779407889385,5.421071074466673,5.924299815517698e-8,1.7436865391443402e-6,33vs30
Montipora_capitata_HIv3___TS.g16882.t1,48.12246101754824,-1.685291677672749,0.46687242371787435,-3.6097477427605607,3.064949232523864e-4,0.002952151208193855,33vs30
Montipora_capitata_HIv3___TS.g4459.t1,56.25585423206745,1.779072151043436,0.49057705953829167,3.6264886758419075,2.8730141279903693e-4,0.002795777542218921,33vs30
Montipora_capitata_HIv3___RNAseq.g44593.t1,109.32628243648124,-1.5137881680656944,0.3209626219456505,-4.716400180460977,2.4005405653349077e-6,4.700033294440887e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g43337.t1,54303.507797181155,1.5259032792985068,0.06641942982185589,22.97374854603758,8.532355043365306e-117,1.531899024485807e-112,33vs30
Montipora_capitata_HIv3___RNAseq.g37223.t1a,31.842311847416212,-1.736480187827838,0.40629499677787745,-4.273939382958182,1.920492677507928e-5,2.803294758697345e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g41149.t1,642.7812546525994,-2.0002584274463944,0.16295057185523387,-12.27524644235943,1.2301665983712423e-34,8.180152261910105e-32,33vs30
Montipora_capitata_HIv3___RNAseq.g24633.t1,47.34032895375375,1.8445937828368444,0.39277362884803396,4.696327979673317,2.6488010671644105e-6,5.131969230951727e-5,33vs30
Montipora_capitata_HIv3___RNAseq.g44288.t1,57.219789018692275,1.6098694146539902,0.4340074401757753,3.7093129417366315,2.0782243208757205e-4,0.002143161370304577,33vs30
Montipora_capitata_HIv3___RNAseq.g35089.t1,81.40426808176507,1.5076357259179973,0.44875778938080874,3.359575614271158,7.806228580894e-4,0.006393842515573489,33vs30
Montipora_capitata_HIv3___RNAseq.g46127.t1,169.75018174887632,-2.401580407865085,0.3370169621773518,-7.125992686983148,1.0333320390620554e-12,7.762528631514705e-11,33vs30
Montipora_capitata_HIv3___TS.g29891.t2,1004.769757830629,-1.861120953341435,0.17983246957242136,-10.349193100481404,4.220275656459535e-25,1.4031635025198978e-22,33vs30
Montipora_capitata_HIv3___RNAseq.g30696.t1,125.23332467114768,2.387953516534102,0.29627689124507756,8.059870975758312,7.637501838111676e-16,9.141580533430468e-14,33vs30
Montipora_capitata_HIv3___RNAseq.g23351.t1,359.1519313497589,1.8459883930356875,0.18329355464152003,10.071212796576592,7.405915068003012e-24,2.07759061142072e-21,33vs30
Montipora_capitata_HIv3___RNAseq.g37310.t1,736.1833668768335,1.8681260627641003,0.1937087335099931,9.64399502755371,5.211918574594323e-22,1.2645241363279253e-19,33vs30
Montipora_capitata_HIv3___RNAseq.g37062.t1,99.34077379916536,-1.5182112518436588,0.3533592599735505,-4.296509031508894,1.7350890226283117e-5,2.5555199599892295e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g16269.t1,45.567871798985216,3.366932543864152,0.509630856380974,6.606610454817526,3.932189159051025e-11,2.2700490084116428e-9,33vs30
