Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q5RH02		Q9WUR9	Q5RCK9	Q56A55				
O88582		Q9Y5C1	Q6GMK0	Q5SGD2				
P41512		P36968	Q503P5	Q9QXG4				
Q8IXH6		Q9H8V3	P25114	Q9W705				
Q9H5Z1		Q6TEQ0	Q8T2K9	Q6PF24				
Q15399		P97501	Q9HCN8	Q5ZI69				
P10620		Q99315	Q9Z2K0	Q91628				
Q8K009		P23919	Q9R101	P51162				
Q91YL3		Q9UBC2	Q9YHV4	Q4RWX9				
Q9D0B6		Q5RF83	P04323	Q9CZW4				
P11607		P62289	Q03734	Q7Z6M4				
O14830		Q9Y2H5	Q8VBX1	Q6NXE6				
O88956		Q9BXW9	Q96IP4	Q9H582				
Q7ZWD4		P21981	Q8C428	Q5R5W2				
P35270		O14578	P82980	A0A2P1BRQ0				
Q6PFP6		P21328	P50234	Q25060				
Q4KL94		Q8BYK4	Q64591	O88484				
Q99999		Q9EQP5	Q9H3M7	Q9NUJ3				
D3ZKX9		P97477	Q9UPW8	Q8BYL4				
Q9DBX3		A0A0G2K0D3	Q6GQS1	Q91684				
P62323		Q5SZI1	A2BHJ4	Q95107				
P27615		Q5TZA2	Q9Z2F7	Q920A7				
Q6PFM1		Q98UK5	Q8BXL9	Q0IIC2				
Q01433		Q6NYP0	Q9D668	Q49AM1				
P04696		Q8NFY4	P97872	Q4R761				
Q5RBW0		F1QZ88	P15253	Q1LUT1				
P70318		P23975	O95789	Q80X66				
B0S5Y3		P11722	P02767	F1RA39				
P50282		P50053	P97501	Q06985				
P50282		Q02241	Q01459	Q9GZX3				
Q8BU03		Q0P4F7	P81021	Q8HZK2				
Q9N2I7		Q60FX9	Q6DC66	Q5PRA2				
P13216		Q7TSQ1	Q5EB30	Q7Z628				
O88618		P79958	Q25330	E1C1U1				
A1A4K8		Q7T3B0	Q86WA6	E7EXZ6				
P80456		Q3B8Q1	Q1RLQ5	Q96SY0				
Q9Y5X1		P27361	O35509	Q8WW22				
Q6DFH5		Q14008	Q9BY76	Q8K4Q6				
Q63563		Q1LW01	A9UMG5	O43293				
P81601		Q90611	B0S5A7	Q8C3X4				
Q95SX7		Q8IXL6	O42449	Q13151				
Q6DHB1		Q99K43	Q9DCQ3	Q9UMS4				
Q9JIL5		Q9H222	Q3UHD9	F1RET2				
P27448		Q5D013	Q6IQE1	A6LHV2				
Q8NBN3		P78417	P18520	A5PJX7				
Q5ZJH9		Q9Y4E5	P45433	P58006				
Q3V3Q7		Q03350	Q8VHQ3	P30416				
Q95M12		P00516	Q9UKG1	O96006				
Q9Y375		Q03468	Q5E9U9	Q9NBX4				
Q8BH83		P16924	Q5ZM35	P62489				
Q9ERI6		Q9NZM1	Q9Z0P5	Q9Z1Q9				
P13676		Q6DG32	P21328	B5DGI7				
P56476		P13731	Q60457	Q14117				
O15091		Q8VD00	P53996	B3DIY3				
Q90YA8		P23735	Q96PS8	P35031				
Q13310		Q99574	Q6AXS8	Q8BX13				
Q2KIN3		A1L1P9	P02612	Q6NXY1				
B5DGM4		Q5UNS9	Q504E7	Q9D0R2				
A5D6U8		Q1WIM2	P41134	Q92104				
A0JPI9		Q4V8H8	Q5I0M0	Q7SXM7				
Q9WVL0		Q9MYP6	Q5SZI1	A2VDB3				
O88202		P10394	Q15742	Q63570				
Q8R121		Q9GKM4	Q5E9M1	Q8TE57				
Q8K1S5		O02751	Q8I7P9	O43147				
Q05876		P21531	Q96P50	A1YF22				
Q5ZKQ6		Q9BPY3	Q7T3D1	A3QK15				
P17248		Q8TE58	Q5M872	Q7ZYC4				
Q9WU60		O43451	O13082	Q96JM2				
