Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q29451	Q6DC61	O15034	Q8CG80	B5DGM4	Q5U3Q6
O75689	Q01063	P35072	P14400	Q27J81	Q96ME1
Q8NEG4	Q5ZJ66	A9C3P0	P01693	Q05858	Q8TEV9
O08858	A4FUW8	Q16566	Q9WV52	O93526	Q1RLU1
Q5XIG2	Q5R5U3	Q96CW9	Q8BLY1	Q5SPB6	Q13588
Q6INE5	P02554	P00637	O95428	Q96BY7	Q6DC61
Q6DHQ3	Q9QZD8	Q96IP4	Q61043	F1RAX8	Q8IY33
Q9CQX5	Q7Z5L2	Q6YJI5	Q91ZY8	Q8R0W1	Q80VC9
Q08DZ3	Q0V9M0	P10394	Q96NE9	Q9P203	Q80TS3
Q3T0P5	Q5ZLN1	Q2TB18	P01694	P48722	Q9NZ01
Q9UJU2	Q1ED39	Q1LYL8	A0A0C4DH26	P49443	P98093
P00348	Q9CX53	Q00685	P01837	Q98SW2	P02554
Q9CX98	P46199	P57709	Q3V3Q7	Q9JIY5	Q9QZD8
Q9NWM0	Q9H8E8	Q1LYL8	B8A4W9	Q6QHC5	G3X987
Q9Y225	O88350	Q1LYL8	Q9WU60	O00423	Q0V9M0
Q96QV1	Q99LT0	Q1LYL8	P27448	P23506	P43367
Q96QV1	Q5U378	Q29S00	Q9YI66	Q497V6	Q3TWI9
A2Q0R8	B5DFC9	E9QAG8	Q32P59	Q7T163	Q9H1D9
Q5RKN3	Q8R2E9	B8JLQ9	Q9WUW8	Q9MZU4	P42695
Q7ZW77	Q9H501	P08548	O15066	Q7RTR2	Q6DFR5
Q499E5	P08579	Q7RTR2	P79747	Q7Z3D6	Q99PD7
Q5IS99	Q8WYQ3	Q6DRL5	P17036	Q52LJ0	Q1LYG0
Q9WV54	A1L1F4	Q9R099	Q8K1L0	Q62728	Q923S6
A2RRT9	Q5R7B3	P34932	F1QG30	P56931	Q9UPU3
Q9BGL2	Q71KU9	A4QNZ7	Q96PX9	Q969H4	Q16690
P02679	Q9Z1M4	Q8N264	P08836	E9Q349	Q9BZE0
P53350	Q14258	P79732	Q7T3A4	Q7ZU42	Q9YHB5
P15498	Q8N122	Q7PCJ8	P86229	Q00765	P17077
P53473	Q9BX93	Q6GM86	P52794	Q9JJ61	Q92503
